"species","replication","time","nhard","nsoft"
"T. sub sub",1,132,33,67
"T. sub sub",2,132,24,76
"T. scutatum",1,132,12,88
"T. scutatum",2,132,19,81
"T. pilulare",1,132,17,83
"T. pilulare",2,132,28,72
"T. glomeratum",1,146,45,55
"T. glomeratum",2,146,38,62
"T. spumosum",1,146,85,15
"T. spumosum",2,146,87,13
"T. hirtum",1,146,64,36
"T. hirtum",2,146,62,38
"T. nigrescens",1,146,20,80
"T. nigrescens",2,146,19,81
"T. tomentosum",1,146,77,23
"T. tomentosum",2,146,82,18
"T. sub sub",1,146,15,85
"T. sub sub",2,146,32,68
"T. scutatum",1,146,5,95
"T. scutatum",2,146,11,89
"T. pilulare",1,146,3,97
"T. pilulare",2,146,18,82
"T. glomeratum",1,160,31,69
"T. glomeratum",2,160,0,100
"T. spumosum",1,160,62,38
"T. spumosum",2,160,57,43
"T. hirtum",1,160,45,55
"T. hirtum",2,160,51,49
"T. nigrescens",1,160,13,87
"T. nigrescens",2,160,25,75
"T. tomentosum",1,160,56,44
"T. tomentosum",2,160,71,29
"T. sub sub",1,160,10,90
"T. sub sub",2,160,0,100
"T. scutatum",1,160,8,92
"T. scutatum",2,160,5,95
"T. pilulare",1,160,30,70
"T. pilulare",2,160,37,63
"T. glomeratum",1,174,39,61
"T. glomeratum",2,174,37,63
"T. glomeratum",3,174,42,58
"T. glomeratum",4,174,25,75
"T. spumosum",1,174,78,22
"T. spumosum",2,174,73,27
"T. spumosum",3,174,64,36
"T. spumosum",4,174,65,35
"T. hirtum",1,174,72,28
"T. hirtum",2,174,54,46
"T. hirtum",3,174,49,51
"T. hirtum",4,174,50,50
"T. nigrescens",1,174,23,77
"T. nigrescens",2,174,15,85
"T. nigrescens",3,174,23,77
"T. nigrescens",4,174,22,78
"T. tomentosum",1,174,75,25
"T. tomentosum",2,174,58,42
"T. tomentosum",3,174,53,47
"T. tomentosum",4,174,75,25
"T. sub sub",1,174,1,99
"T. sub sub",2,174,0,100
"T. sub sub",3,174,6,94
"T. sub sub",4,174,25,75
"T. scutatum",1,174,4,96
"T. scutatum",2,174,11,89
"T. scutatum",3,174,5,95
"T. scutatum",4,174,5,95
"T. pilulare",1,174,17,83
"T. pilulare",2,174,28,72
"T. pilulare",3,174,,
"T. pilulare",4,174,,
